fonte,licensa,licensa_raw,license_status,url,bairro,lat,lng,quartos,host_id,airbnb_date,official_date
airbnb,88579,88579/AL,licença reutilizada 10,https://www.airbnb.com/rooms/898973586189263631,Avenidas Novas,38.728355589204874,-9.15781794526326,,505424337,2026-06-25,2018-11-19
airbnb,88579,88579/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899040948150876565,Avenidas Novas,38.72826823847964,-9.158175934316203,,505424337,2026-06-25,2018-11-19
airbnb,52317,52317/AL,licença invalida (distancia 184.16320608216972),https://www.airbnb.com/rooms/899101448438652905,Santa Maria Maior,38.710070115074686,-9.133050653274056,,206315701,2026-06-25,2017-07-21
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899139692926831153,Avenidas Novas,38.73731,-9.14454,,505424337,2026-06-25,2017-07-10
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899150976005292083,Avenidas Novas,38.7379,-9.14423,,505424337,2026-06-23,2017-07-10
airbnb,55923,55923/AL,licença invalida (distancia 1.0229784221180211),https://www.airbnb.com/rooms/899174002549896454,Estrela,38.70675140259321,-9.17311271770053,2,506711967,2026-06-25,2017-09-04
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899176766615554188,Avenidas Novas,38.73953676588982,-9.145722657200857,,505424337,2026-06-25,2017-07-10
airbnb,28472,28472/AL,sem licença,https://www.airbnb.com/rooms/899179252947067944,So Vicente,38.72146,-9.1255,,9497873,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/878341202336730845,So Vicente,38.71655,-9.12624,,422888917,2026-06-25,
airbnb,82145,82145/AL,licença reutilizada 20,https://www.airbnb.com/rooms/899904219400954216,Arroios,38.73078,-9.13553,,505424337,2026-06-26,2018-09-05
airbnb,82145,82145/AL,licença reutilizada 20,https://www.airbnb.com/rooms/899916497958501620,Arroios,38.73249,-9.13603,1,505424337,2026-06-26,2018-09-05
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899187628984174984,Avenidas Novas,38.73959997832461,-9.144496155629366,,505424337,2026-06-25,2017-07-10
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899198606078243620,Avenidas Novas,38.73926669871384,-9.144102600953325,,505424337,2026-06-25,2017-07-10
airbnb,78740,78740/AL,,https://www.airbnb.com/rooms/899200563827762612,Santa Maria Maior,38.7134806,-9.135702199999999,3,81944577,2026-06-25,2018-07-24
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899210099353480869,Avenidas Novas,38.73969,-9.14612,,505424337,2026-06-25,2017-07-10
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/899210587463791074,Penha de Frana,38.7362479,-9.1288499,2,515725334,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/899221785717169575,Campolide,38.72701285640471,-9.163231876153867,1,2431833,2026-06-25,
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899222371178752590,Avenidas Novas,38.739401305130244,-9.145526235935163,,505424337,2026-06-25,2017-07-10
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/899233240212688379,Campolide,38.72672,-9.16429,,2431833,2026-06-25,
airbnb,82145,82145/AL,licença reutilizada 20,https://www.airbnb.com/rooms/899917984860589683,Arroios,38.73065689512166,-9.135551901698602,,505424337,2026-07-02,2018-09-05
airbnb,82145,82145/AL,licença reutilizada 20,https://www.airbnb.com/rooms/899954433738445731,Arroios,38.73205726949331,-9.137636256658906,,505424337,2026-06-26,2018-09-05
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/899380663542108904,Alvalade,38.75864,-9.13637,,286920873,2026-06-23,
airbnb,50988,50988/AL,licença reutilizada 10,https://www.airbnb.com/rooms/899704978211790338,Avenidas Novas,38.7395600860525,-9.144774395998663,,505424337,2026-06-23,2017-07-10
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/899706863061007037,Areeiro,38.7438575,-9.142746299999999,,14359293,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/899715193697543604,Estrela,38.70942,-9.15781,,76223539,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/899847411507369107,Areeiro,38.74017521355981,-9.13845751426678,4,516466144,2026-06-25,
airbnb,82145,82145/AL,licença reutilizada 20,https://www.airbnb.com/rooms/899892863234016888,Arroios,38.73237,-9.136,,505424337,2026-06-26,2018-09-05
airbnb,143983,143983/AL,licença invalida (distancia 73.80036680936837),https://www.airbnb.com/rooms/905744079734337361,Belm,38.7064152,-9.2061729,2,1574516,2026-06-23,2023-04-28
airbnb,40383,40383/AL,licença reutilizada 2,https://www.airbnb.com/rooms/899954715686035713,So Vicente,38.71952,-9.13004,2,723715,2026-06-26,2017-02-22
airbnb,124141,124141/AL,licença reutilizada 11,https://www.airbnb.com/rooms/905924720505438502,Penha de Frana,38.73151,-9.1283,,340193623,2026-06-25,2022-03-10
airbnb,124141,124141/AL,licença reutilizada 11,https://www.airbnb.com/rooms/905931040856938707,Penha de Frana,38.73169,-9.13025,,340193623,2026-06-25,2022-03-10
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/906307886356219969,So Vicente,38.71952310856476,-9.132657969311529,1,72635051,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/906386186211321965,So Vicente,38.71512,-9.13128,1,2181029,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/906519771878003315,Arroios,38.72447,-9.13319,,517840032,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/906635847738935951,Avenidas Novas,38.73820580554694,-9.147254414856434,,277735285,2026-07-02,
airbnb,50697,50697/AL,,https://www.airbnb.com/rooms/906746114069454110,Santa Maria Maior,38.71194,-9.12491,1,224337068,2026-07-02,2017-07-07
airbnb,11036,11036,licença invalida (distancia 189.36067606062812);licença reutilizada 17,https://www.airbnb.com/rooms/906970428367469624,Arroios,38.7232256,-9.1320063,1,55037819,2026-06-25,1994-01-10
airbnb,11036,11036,licença invalida (distancia 189.42543688932236);licença reutilizada 17,https://www.airbnb.com/rooms/906970975815249405,Arroios,38.72347,-9.1332,1,55037819,2026-06-26,1994-01-10
airbnb,56647,56647/AL,,https://www.airbnb.com/rooms/907082157782948511,Areeiro,38.743698100000024,-9.136621053967293,4,11263428,2026-07-02,2017-09-14
airbnb,84283,84283/AL,sem licença,https://www.airbnb.com/rooms/907095699714069485,So Vicente,38.7178646,-9.1215265,1,102580241,2026-06-23,
airbnb,85860,85860/AL,licença reutilizada 2,https://www.airbnb.com/rooms/907129627411465934,Misericrdia,38.70881553529178,-9.149855012855095,2,64590865,2026-06-26,2018-10-16
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/907133994008033030,Belm,38.7150693,-9.214416000000002,3,268060511,2026-06-23,
airbnb,49960,49960/AL,licença reutilizada 6,https://www.airbnb.com/rooms/907158534967635190,Arroios,38.72385,-9.13319,,11470182,2026-06-26,2017-07-01
airbnb,139923,139923/AL,,https://www.airbnb.com/rooms/907267189631041962,So Domingos de Benfica,38.743706107908665,-9.18154420406989,2,3755705,2026-06-23,2023-03-21
airbnb,44794,44794,,https://www.airbnb.com/rooms/907755361228805004,Santa Maria Maior,38.71299,-9.13559,1,341391992,2026-06-25,2017-05-10
airbnb,48059,48059,,https://www.airbnb.com/rooms/907864090267173129,Misericrdia,38.71105,-9.14652,2,1848304,2026-06-26,2017-06-14
airbnb,47486,47486/AL,,https://www.airbnb.com/rooms/907867445430793753,Misericrdia,38.71228394044602,-9.152228945376343,1,488844084,2026-06-26,2017-06-20
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/900146457141038601,Olivais,38.76634994801864,-9.111119744702146,1,33722053,2026-06-25,
airbnb,72678,72678/AL,sem licença,https://www.airbnb.com/rooms/908067764030471039,Santo Antnio,38.72538,-9.14641,,7956592,2026-06-25,
airbnb,59851,59851/AL,licença reutilizada 2,https://www.airbnb.com/rooms/908115208147237337,Santa Maria Maior,38.7154571,-9.1338123,2,38143780,2026-06-25,2017-11-20
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/908536025781295359,Santa Maria Maior,38.710583290695695,-9.137926496077997,3,518713743,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/908640054073445132,Arroios,38.72813,-9.14776,1,518744226,2026-06-25,
airbnb,24726,24726/AL,licença reutilizada 10,https://www.airbnb.com/rooms/908667184228602862,Misericrdia,38.71018159421783,-9.144046023133532,1,15900664,2026-06-25,2016-02-18
airbnb,24726,24726/AL,licença reutilizada 10,https://www.airbnb.com/rooms/908667414225283326,Misericrdia,38.70991833397714,-9.143747865228216,1,15900664,2026-06-25,2016-02-18
